Microsoft (R) COFF/PE Dumper Version 14.14.26433.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file win10-wow64-user32.dll
       2111  25B 00085670 LoadRemoteFonts
       2112  25C 00015AD0 LoadStringA
       2113  25D 0003B110 LoadStringW
       2114  25E 00085690 LockSetForegroundWindow
       2115  25F 0003CDE0 LockWindowStation
       2116  260 0003CDF0 LockWindowUpdate
       2117  261 0003CE00 LockWorkStation
       2118  262 0003CE20 LogicalToPhysicalPoint
       2119  263 0003CE30 LogicalToPhysicalPointForPerMonitorDPI
       2120  264 0005B5A0 LookupIconIdFromDirectory
       2121  265 0002A110 LookupIconIdFromDirectoryEx
       2122  266 00023800 MBToWCSEx
       2123  267 00024180 MBToWCSExt
       2124  268 00077E30 MB_GetString
       2125  269 0007AA90 MITActivateInputProcessing
       2126  26A 0007AAB0 MITBindInputTypeToMonitors
       2127  26B 0007AAD0 MITCoreMsgKGetConnectionHandle
       2128  26C 0007AAF0 MITCoreMsgKOpenConnectionTo
       2129  26D 0007AB10 MITCoreMsgKSend
       2130  26E 0007AB30 MITDeactivateInputProcessing
       2131  26F 0007AB40 MITDisableMouseIntercept
       2132  270 0007AB50 MITDispatchCompletion
       2133  271 0007AB60 MITEnableMouseIntercept
       2134  272 0007AB80 MITGetCursorUpdateHandle
       2135  273 0007AB90 MITInjectLegacyISMTouchFrame
       2136  274 0007ABA0 MITRegisterManipulationThread
       2137  275 0007ABC0 MITSetForegroundRoutingInfo
       2138  276 0007ABD0 MITSetInputCallbacks
       2139  277 0007ABF0 MITSetInputDelegationMode
       2140  278 0007AC10 MITSetLastInputRecipient
       2141  279 0007AC30 MITSetManipulationInputTarget
       2142  27A 0007AC50 MITStopAndEndInertia
       2143  27B 0007AC70 MITSynthesizeMouseInput
       2144  27C 0007AC90 MITSynthesizeMouseWheel
       2145  27D 0007ACB0 MITSynthesizeTouchInput
       2146  27E 0007ACD0 MITUpdateInputGlobals
       2147  27F 0007ACF0 MITWaitForMultipleObjectsEx
       2148  280 0007E300 MakeThreadTSFEventAware
       2149  281 000163E0 MapDialogRect
       2150  282 0002EF40 MapVirtualKeyA
       2151  283 000805F0 MapVirtualKeyExA
       2152  284 0002ED90 MapVirtualKeyExW
       2153  285 0002F440 MapVirtualKeyW
       2154  286 0003CE40 MapVisualRelativePoints
       2155  287 00035AF0 MapWindowPoints
       2156  288 0003CE50 MenuItemFromPoint
       2157  289 0005A2D0 MenuWindowProcA
       2158  28A 0005A360 MenuWindowProcW
       2159  28B 000856B0 MessageBeep
       2160  28C 00077E60 MessageBoxA
       2161  28D 00077E90 MessageBoxExA
       2162  28E 00077EC0 MessageBoxExW
       2163  28F 00077EF0 MessageBoxIndirectA
       2164  290 00077FF0 MessageBoxIndirectW
       2165  291 00078050 MessageBoxTimeoutA
       2166  292 00078100 MessageBoxTimeoutW
       2167  293 00078290 MessageBoxW
       2168  294 0008B640 ModifyMenuA
       2169  295 00086500 ModifyMenuW
       2170  296 00026440 MonitorFromPoint
       2171  297 00026740 MonitorFromRect
       2172  298 0002A6C0 MonitorFromWindow
       2173  299 0003CE60 MoveWindow
       2174  29A 00039FB0 MsgWaitForMultipleObjects
       2175  29B 0003A050 MsgWaitForMultipleObjectsEx
       2176  29C 000856D0 NotifyOverlayWindow
       2177  29D 0001ED60 NotifyWinEvent
       2178  29E 00078B70 OemKeyScan
       2179  29F 00078BE0 OemToCharA
       2180  2A0 00078C30 OemToCharBuffA
       2181  2A1 00078C80 OemToCharBuffW
       2182  2A2 00078CC0 OemToCharW
       2183  2A3 00014410 OffsetRect
       2184  2A4 0002E5F0 OpenClipboard
       2185  2A5 000856F0 OpenDesktopA
       2186  2A6 00085740 OpenDesktopW
       2187  2A7 00085770 OpenIcon
       2188  2A8 0003CE80 OpenInputDesktop
       2189  2A9 0003CE90 OpenThreadDesktop
       2190  2AA 000857B0 OpenWindowStationA
       2191  2AB 00085800 OpenWindowStationW
       2192  2AC 00062850 PackDDElParam
       2193  2AD 0007D9E0 PackTouchHitTestingProximityEvaluation
       2194  2AE 0008A8A0 PaintDesktop
       2195  2AF 0003CEA0 PaintMenuBar
       2196  2B0 0003CEB0 PaintMonitor
       2197  2B1 00025AC0 PeekMessageA
       2198  2B2 00038F70 PeekMessageW
       2199  2B3 0003CED0 PhysicalToLogicalPoint
       2200  2B4 0003CEE0 PhysicalToLogicalPointForPerMonitorDPI
       2201  2B5 00028AD0 PostMessageA
       2202  2B6 0003A710 PostMessageW
       2203  2B7 0002F6C0 PostQuitMessage
       2204  2B8 00028A10 PostThreadMessageA
       2205  2B9 0001FC40 PostThreadMessageW
       2206  2BA 0003CEF0 PrintWindow
       2207  2BB 0006A820 PrivateExtractIconExA
       2208  2BC 0006A880 PrivateExtractIconExW
       2209  2BD 0006A980 PrivateExtractIconsA
       2210  2BE 00024740 PrivateExtractIconsW
       2211  2BF 0002FF80 PrivateRegisterICSProc
       2212  2C0 00026690 PtInRect
       2213  2C1 0003CF20 QueryBSDRWindow
       2214  2C2 0002B390 QueryDisplayConfig
       2215  2C3 0003CF30 QuerySendMessage
       2216  2C4 0007A7B0 RIMAddInputObserver
       2217  2C5 0007A7D0 RIMAreSiblingDevices
       2218  2C6 0007A7F0 RIMDeviceIoControl
       2219  2C7 0007A810 RIMEnableMonitorMappingForDevice
       2220  2C8 0007A830 RIMFreeInputBuffer
       2221  2C9 0007A840 RIMGetDevicePreparsedData
       2222  2CA 0007A860 RIMGetDevicePreparsedDataLockfree
       2223  2CB 0007A880 RIMGetDeviceProperties
       2224  2CC 0007A8A0 RIMGetDevicePropertiesLockfree
       2225  2CD 0007A8C0 RIMGetPhysicalDeviceRect
       2226  2CE 0007A8E0 RIMGetSourceProcessId
       2227  2CF 0007A900 RIMObserveNextInput
       2228  2D0 0007A920 RIMOnPnpNotification
       2229  2D1 0007A940 RIMOnTimerNotification
       2230  2D2 0007A960 RIMReadInput
       2231  2D3 0007A980 RIMRegisterForInput
       2232  2D4 0007A9A0 RIMRemoveInputObserver
       2233  2D5 0007A9C0 RIMSetTestModeStatus
       2234  2D6 0007A9E0 RIMUnregisterForInput
       2235  2D7 0007AA00 RIMUpdateInputObserverRegistration
       2236  2D8 0003CF40 RealChildWindowFromPoint
       2237  2D9 00080690 RealGetWindowClass
       2238  2DA 00080690 RealGetWindowClassA
       2239  2DB 0002B330 RealGetWindowClassW
       2240  2DC 0007A380 ReasonCodeNeedsBugID
       2241  2DD 0007A3A0 ReasonCodeNeedsComment
       2242  2DE 00060360 RecordShutdownReason
       2243  2DF 0003CF50 RedrawWindow
       2244  2E0 0003CF60 RegisterBSDRWindow
       2245  2E1 00024B40 RegisterClassA
       2246  2E2 000253D0 RegisterClassExA
       2247  2E3 00031D30 RegisterClassExW
       2248  2E4 00031EC0 RegisterClassW
       2249  2E5 000286A0 RegisterClipboardFormatA
       2250  2E6 0003B160 RegisterClipboardFormatW
       2251  2E7 0003CF70 RegisterDManipHook
       2252  2E8 0002F1E0 RegisterDeviceNotificationA
       2253  2E9 0002F190 RegisterDeviceNotificationW
       2254  2EA 0003CF80 RegisterErrorReportingDialog
       2255  2EB 00085870 RegisterFrostWindow
       2256  2EC 00085890 RegisterGhostWindow
       2257  2ED 0003CF90 RegisterHotKey
       2258  2EE 000868C0 RegisterLogonProcess
       2259  2EF 0002F480 RegisterMessagePumpHook
       2260  2F0 0003CFA0 RegisterPointerDeviceNotifications
       2261  2F1 0005A850 RegisterPointerInputTarget
       2262  2F2 0005A870 RegisterPointerInputTargetEx
       2263  2F3 0002ED20 RegisterPowerSettingNotification
       2264  2F4 0003CFB0 RegisterRawInputDevices
       2265  2F5 0003CFC0 RegisterServicesProcess
       2266  2F6 0003CFD0 RegisterSessionPort
       2267  2F7 0002FEE0 RegisterShellHookWindow
       2268  2F8 0008AA10 RegisterSuspendResumeNotification
       2269  2F9 000858D0 RegisterSystemThread
       2270  2FA 0003CFF0 RegisterTasklist
       2271  2FB 0003D000 RegisterTouchHitTestingWindow
       2272  2FC 0008AA70 RegisterTouchWindow
       2273  2FD 0008AA90 RegisterUserApiHook
       2274  2FE 000286A0 RegisterWindowMessageA
       2275  2FF 0003B160 RegisterWindowMessageW
       2276  300 0002DF00 ReleaseCapture
       2277  301 00033E10 ReleaseDC
       2278  302 0003D020 ReleaseDwmHitTestWaiters
       2279  303 00082350 RemoveClipboardFormatListener
       2280  304 0003D030 RemoveInjectionDevice
       2281  305 0003D040 RemoveMenu
       2282  306 0002DE20 RemovePropA
       2283  307 0003AAB0 RemovePropW
       2284  308 0007E360 RemoveThreadTSFEventAwareness
       2285  309 00085930 ReplyMessage
       2551  30A 0003D050 ReportInertia
       2286  30B 0003D070 ResolveDesktopForWOW
       2287  30C 000628C0 ReuseDDElParam
       2288  30D 00028070 ScreenToClient
       2289  30E 00075760 ScrollChildren
       2290  30F 0002FE10 ScrollDC
       2291  310 0002EB30 ScrollWindow
       2292  311 0002CD30 ScrollWindowEx
       2293  312 000147E0 SendDlgItemMessageA
       2294  313 00014880 SendDlgItemMessageW
       2295  314 000818C0 SendIMEMessageExA
       2296  315 00081900 SendIMEMessageExW
       2297  316 0003D090 SendInput
       2298  317 0001B980 SendMessageA
       2299  318 00080720 SendMessageCallbackA
       2300  319 0002E0D0 SendMessageCallbackW
       2301  31A 00028860 SendMessageTimeoutA
       2302  31B 0003AC20 SendMessageTimeoutW
       2303  31C 0001BB20 SendMessageW
       2304  31D 000807C0 SendNotifyMessageA
       2305  31E 0002DD10 SendNotifyMessageW
       2306  31F 0003D0D0 SetActiveWindow
       2307  320 0003D120 SetCapture
       2308  321 0002FDA0 SetCaretBlinkTime
       2309  322 0002EF20 SetCaretPos
       2310  323 0002FC10 SetClassLongA
       2311  324 0002F700 SetClassLongW
       2312  325 0003D140 SetClassWord
       2313  326 0002D4C0 SetClipboardData
       2314  327 0002FF00 SetClipboardViewer
       2315  328 0003D150 SetCoalescableTimer
       2571  329 0003D160 SetCoreWindow
       2316  32A 0003BFAC SetCursor
       2317  32B 0003D180 SetCursorContents
       2318  32C 00085950 SetCursorPos
       2319  32D 00085970 SetDebugErrorLevel
       2320  32E 00085980 SetDeskWallpaper
       2321  32F 0003D190 SetDesktopColorTransform
       2322  330 0003D1A0 SetDialogControlDpiChangeBehavior
       2323  331 00063210 SetDialogDpiChangeBehavior
       2324  332 0003D1C0 SetDisplayAutoRotationPreferences
       2325  333 0008CC70 SetDisplayConfig
       2326  334 00013730 SetDlgItemInt
       2327  335 00013BB0 SetDlgItemTextA
       2328  336 00014820 SetDlgItemTextW
       2329  337 000859A0 SetDoubleClickTime
       2330  338 0003D1F0 SetFeatureReportResponse
       2331  339 0003D200 SetFocus
       2332  33A 0002F3A0 SetForegroundWindow
       2333  33B 0003D210 SetGestureConfig
       2334  33C 0003D240 SetInternalWindowPos
       2335  33D 0003D250 SetKeyboardState
       2336  33E 00078D10 SetLastErrorEx
       2337  33F 0003D260 SetLayeredWindowAttributes
       2338  340 00073B10 SetMagnificationDesktopColorEffect
       2339  341 00073B80 SetMagnificationDesktopMagnification
       2340  342 00073BD0 SetMagnificationDesktopSamplingMode
       2341  343 0003D270 SetMagnificationLensCtxInformation
       2342  344 0002FB80 SetMenu
       2343  345 0003D280 SetMenuContextHelpId
       2344  346 0003D290 SetMenuDefaultItem
       2345  347 00075D70 SetMenuInfo
       2346  348 00075DA0 SetMenuItemBitmaps
       2347  349 0008B690 SetMenuItemInfoA
       2348  34A 00025330 SetMenuItemInfoW
       2349  34B 0005A3F0 SetMessageExtraInfo
       2350  34C 000859C0 SetMessageQueue
       2351  34D 0003D2A0 SetMirrorRendering
       2352  34E 0002EE20 SetParent
       2353  34F 0002F310 SetPhysicalCursorPos
       2354  350 0002FA30 SetProcessDPIAware
       2355  351 000859F0 SetProcessDefaultLayout
       2356  352 00031660 SetProcessDpiAwarenessContext
       2357  353 00030040 SetProcessDpiAwarenessInternal
       2358  354 0003D2E0 SetProcessRestrictionExemption
       2359  355 0003D2F0 SetProcessWindowStation
       2360  356 00085A10 SetProgmanWindow
       2361  357 0002DA20 SetPropA
       2362  358 0002A2F0 SetPropW
       2363  359 00028C50 SetRect
       2364  35A 000298F0 SetRectEmpty
       2365  35B 0001D600 SetScrollInfo
       2366  35C 0002EB90 SetScrollPos
       2367  35D 00021450 SetScrollRange
       2368  35E 00085A30 SetShellWindow
       2369  35F 0003D300 SetShellWindowEx
       2370  360 0008AAF0 SetSysColors
       2371  361 00078D30 SetSysColorsTemp
       2372  362 0008AB10 SetSystemCursor
       2373  363 0003D310 SetSystemMenu
       2374  364 00085A70 SetTaskmanWindow
       2375  365 0003BF94 SetThreadDesktop
       2376  366 00085A90 SetThreadDpiAwarenessContext
       2377  367 00085B30 SetThreadDpiHostingBehavior
       2378  368 0003D330 SetThreadInputBlocked
       2379  369 0003ADF0 SetTimer
       2380  36A 00085C10 SetUserObjectInformationA
       2381  36B 00085C60 SetUserObjectInformationW
       2382  36C 00085C70 SetUserObjectSecurity
       2383  36D 0002CC60 SetWinEventHook
       2384  36E 0003D350 SetWindowBand
       2385  36F 0003B840 SetWindowCompositionAttribute
       2386  370 0003D360 SetWindowCompositionTransition
       2387  371 00030000 SetWindowContextHelpId
       2388  372 0003D370 SetWindowDisplayAffinity
       2389  373 0003D380 SetWindowFeedbackSetting
       2390  374 0002D350 SetWindowLongA
       2391  375 000375E0 SetWindowLongW
       2392  376 0003D3A0 SetWindowPlacement
       2393  377 0003D3B0 SetWindowPos
       2394  378 00017B70 SetWindowRgn
       2395  379 0008AB50 SetWindowRgnEx
       2396  37A 0008AB80 SetWindowStationUser
       2397  37B 00018BA0 SetWindowTextA
       2398  37C 0001F0B0 SetWindowTextW
       2399  37D 0003D3D0 SetWindowWord
       2400  37E 00058D90 SetWindowsHookA
       2401  37F 0002F080 SetWindowsHookExA
       2402  380 0003B870 SetWindowsHookExW
       2403  381 00058DB0 SetWindowsHookW
       2404  382 0002E890 ShowCaret
       2405  383 0003D3E0 ShowCursor
       2406  384 0002FFD0 ShowOwnedPopups
       2407  385 0003D3F0 ShowScrollBar
       2408  386 00085CB0 ShowStartGlass
       2409  387 0003D400 ShowSystemCursor
       2410  388 0003D410 ShowWindow
       2411  389 0003D420 ShowWindowAsync
       2412  38A 00085CD0 ShutdownBlockReasonCreate
       2413  38B 0003D430 ShutdownBlockReasonDestroy
       2414  38C 0003D440 ShutdownBlockReasonQuery
       2415  38D 0003D450 SignalRedirectionStartComplete
       2416  38E 0003D460 SkipPointerFrameMessages
       2417  38F 000782C0 SoftModalMessageBox
       2418  390 0003D480 SoundSentry
       2419  391 0008D5B0 SubtractRect
       2420  392 00085D10 SwapMouseButton
       2421  393 00085D30 SwitchDesktop
       2422  394 00085D50 SwitchDesktopWithFade
       2423  395 00085D70 SwitchToThisWindow
       2424  396 000175F0 SystemParametersInfoA
       2425  397 000176E0 SystemParametersInfoForDpi
       2426  398 0003A230 SystemParametersInfoW
       2427  399 00060990 TabbedTextOutA
       2428  39A 00060A30 TabbedTextOutW
       2429  39B 00085D90 TileChildWindows
       2430  39C 00075790 TileWindows
       2431  39D 0002F880 ToAscii
       2432  39E 00085DC0 ToAsciiEx
       2433  39F 0002F8D0 ToUnicode
       2434  3A0 0002E7B0 ToUnicodeEx
       2435  3A1 0003D490 TrackMouseEvent
       2436  3A2 00075E00 TrackPopupMenu
       2437  3A3 0003D4A0 TrackPopupMenuEx
       2438  3A4 00028A70 TranslateAccelerator
       2439  3A5 00028A70 TranslateAcceleratorA
       2440  3A6 0002A640 TranslateAcceleratorW
       2441  3A7 000757C0 TranslateMDISysAccel
       2442  3A8 0003A780 TranslateMessage
       2443  3A9 0008ABD0 TranslateMessageEx
       2504  3AA 0003D4B0 UndelegateInput
       2444  3AB 0003D4C0 UnhookWinEvent
       2445  3AC 00085EB0 UnhookWindowsHook
       2446  3AD 0002ED70 UnhookWindowsHookEx
       2447  3AE 00028470 UnionRect
       2448  3AF 00085ED0 UnloadKeyboardLayout
       2449  3B0 0003D4D0 UnlockWindowStation
       2450  3B1 00062960 UnpackDDElParam
       2451  3B2 00024A10 UnregisterClassA
       2452  3B3 0002A1F0 UnregisterClassW
       2453  3B4 0002F9F0 UnregisterDeviceNotification
       2454  3B5 0003D4E0 UnregisterHotKey
       2455  3B6 0002F760 UnregisterMessagePumpHook
       2456  3B7 0005A8B0 UnregisterPointerInputTarget
       2457  3B8 0005A8D0 UnregisterPointerInputTargetEx
       2458  3B9 0002F060 UnregisterPowerSettingNotification
       2459  3BA 0003D4F0 UnregisterSessionPort
       2460  3BB 0008AC20 UnregisterSuspendResumeNotification
       2461  3BC 0008AC50 UnregisterTouchWindow
       2462  3BD 0003D500 UnregisterUserApiHook
       2463  3BE 0003D510 UpdateDefaultDesktopThumbnail
       2464  3BF 0002E510 UpdateLayeredWindow
       2465  3C0 0002AF60 UpdateLayeredWindowIndirect
       2466  3C1 0008AC70 UpdatePerUserSystemParameters
       2467  3C2 0001EF90 UpdateWindow
       2468  3C3 0003D520 UpdateWindowInputSinkHints
       2469  3C4 00030090 User32InitializeImmEntryTable
       2470  3C5 00030110 UserClientDllInitialize
       2471  3C6 0003D540 UserHandleGrantAccess
       2472  3C7 00060A60 UserLpkPSMTextOut
       2473  3C8 00060C20 UserLpkTabbedTextOut
       2474  3C9 0002ECF0 UserRealizePalette
       2475  3CA 00085F00 UserRegisterWowHandlers
       2476  3CB 000902D0 VRipOutput
       2477  3CC 000902E0 VTagOutput
       2478  3CD 0003D550 ValidateRect
       2479  3CE 0002E920 ValidateRgn
       2480  3CF 00080840 VkKeyScanA
       2481  3D0 00080890 VkKeyScanExA
       2482  3D1 0002F680 VkKeyScanExW
       2483  3D2 0002EB10 VkKeyScanW
       2484  3D3 00015B50 WCSToMBEx
       2485  3D4 00081940 WINNLSEnableIME
       2486  3D5 00081980 WINNLSGetEnableStatus
       2487  3D6 000819C0 WINNLSGetIMEHotkey
       2488  3D7 000860C0 WaitForInputIdle
       2489  3D8 0003D570 WaitForRedirectionStartComplete
       2490  3D9 0003D580 WaitMessage
       2491  3DA 00013900 WinHelpA
       2492  3DB 0006BBA0 WinHelpW
       2493  3DC 0003D590 WindowFromDC
       2494  3DD 0003D5A0 WindowFromPhysicalPoint
       2495  3DE 0003D5B0 WindowFromPoint
       1505  3DF 0009BF6C Wow64Transition
       2496  3E0 0007E130 _UserTestTokenForInteractive
       2497  3E1 000998B8 gSharedInfo
       2498  3E2 000015C8 gapfnScSendMessage
       2499  3E3 0008AD60 keybd_event
       2500  3E4 0008ADB0 mouse_event
       2501  3E5 0002C7E0 wsprintfA
       2502  3E6 0002C150 wsprintfW
       2543  3E7 0002C800 wvsprintfA
       2547  3E8 0002C170 wvsprintfW
       1502      0005B920 [NONAME]
       1550      0007A4C0 [NONAME]
       1551      0007A550 [NONAME]
       1552      0007A480 [NONAME]
       1554      0007A540 [NONAME]
       2001      00073C10 [NONAME]
       2002      00073A80 [NONAME]
       2005      0003D130 [NONAME]
       2010      0003D470 [NONAME]
       2506      00058C40 [NONAME]
       2507      0003D0E0 [NONAME]
       2508      0003CF10 [NONAME]
       2509      0003C330 [NONAME]
       2510      0003C610 [NONAME]
       2511      0003D1E0 [NONAME]
       2512      0003C820 [NONAME]
       2513      0003D0C0 [NONAME]
       2514      0005A830 [NONAME]
       2515      0005A890 [NONAME]
       2516      0003C4E0 [NONAME]
       2517      0003CB00 [NONAME]
       2518      0002CFD0 [NONAME]
       2519      0003C630 [NONAME]
       2520      0003CD40 [NONAME]
       2522      0003D100 [NONAME]
       2523      0008AE30 [NONAME]
       2524      00058730 [NONAME]
       2525      000586A0 [NONAME]
       2526      00058700 [NONAME]
       2527      000586D0 [NONAME]
       2529      0003C550 [NONAME]
       2530      0003D560 [NONAME]
       2531      0003D110 [NONAME]
       2532      0003D1D0 [NONAME]
       2533      0003C3C0 [NONAME]
       2534      0005B520 [NONAME]
       2535      0007EF30 [NONAME]
       2536      0002A780 [NONAME]
       2537      0003D080 [NONAME]
       2538      0003CDD0 [NONAME]
       2539      0003CBF0 [NONAME]
       2540      0007F040 [NONAME]
       2541      0003CA40 [NONAME]
       2542      0003CFE0 [NONAME]
       2544      0003C680 [NONAME]
       2545      0003C970 [NONAME]
       2546      0003D010 [NONAME]
       2548      0003CA10 [NONAME]
       2549      0003D2C0 [NONAME]
       2550      0003C460 [NONAME]
       2552      000858B0 [NONAME]
       2553      00085E60 [NONAME]
       2554      00085830 [NONAME]
       2555      0008E580 [NONAME]
       2556      0003D0B0 [NONAME]
       2557      0002C780 [NONAME]
       2558      0002E4B0 [NONAME]
       2559      0003C960 [NONAME]
       2560      0005A460 [NONAME]
       2561      00084EB0 [NONAME]
       2563      0003C420 [NONAME]
       2564      00085910 [NONAME]
       2565      00085490 [NONAME]
       2566      0003D340 [NONAME]
       2567      00084EC0 [NONAME]
       2568      000859D0 [NONAME]
       2569      00085140 [NONAME]
       2570      00085BC0 [NONAME]
       2572      00085460 [NONAME]
       2573      0002F960 [NONAME]
       2574      00085500 [NONAME]
       2575      00084FC0 [NONAME]
       2576      0003D170 [NONAME]
       2577      00063190 [NONAME]
       2578      0003CE70 [NONAME]
       2579      0003D3C0 [NONAME]
       2581      000853D0 [NONAME]
       2582      0002EA00 [NONAME]
       2584      00084E90 [NONAME]
       2585      0003D530 [NONAME]
       2586      0002F940 [NONAME]
       2587      0002E230 [NONAME]
       2588      0003C340 [NONAME]
       2589      0003C8A0 [NONAME]
       2590      0003C890 [NONAME]
       2591      0003D0A0 [NONAME]
       2592      0003D220 [NONAME]
       2593      0003CCF0 [NONAME]
       2594      0003D230 [NONAME]
       2595      0003D2D0 [NONAME]
       2597      0002FF30 [NONAME]
       2598      0005B2C0 [NONAME]
       2599      00085450 [NONAME]
       2600      00084FA0 [NONAME]
       2606      0003C670 [NONAME]
       2608      0003CF00 [NONAME]
       2609      0003C8B0 [NONAME]
       2610      0003C470 [NONAME]
       2611      0003C6B0 [NONAME]
       2612      0002FA60 [NONAME]
       2613      0002DFA0 [NONAME]
       2614      0003CA90 [NONAME]
       2615      0003C660 [NONAME]
       2616      0003C360 [NONAME]
       2617      0003CD70 [NONAME]
       2618      0008CC40 [NONAME]
       2619      0008CC10 [NONAME]
       2620      0008CBE0 [NONAME]
       2621      0003C480 [NONAME]
       2622      0003D320 [NONAME]
       2623      0003C940 [NONAME]
       2624      0003D2B0 [NONAME]
       2625      0003D1B0 [NONAME]
       2626      0003D060 [NONAME]
       2627      0003D0F0 [NONAME]
       2628      0003C4D0 [NONAME]
       2629      0003C510 [NONAME]
       2630      0003CB80 [NONAME]
       2631      0003C6A0 [NONAME]
       2632      0003D390 [NONAME]
       2634      00085A50 [NONAME]
       2635      00015E80 [NONAME]
       2700      00085010 [NONAME]
       2702      00075CB0 [NONAME]
       2703      0003CD50 [NONAME]
       2704      0003C600 [NONAME]
       2705      0003CD20 [NONAME]
       2706      0003CDA0 [NONAME]
       2707      00026C40 [NONAME]
       2708      0003C390 [NONAME]
       2709      0003C690 [NONAME]
       2710      0003CDB0 [NONAME]
       2711      0003C730 [NONAME]
       2712      00039BE0 [NONAME]
       2713      0003BA60 [NONAME]
       2714      00056FD0 [NONAME]
       2715      0003CE10 [NONAME]
       2716      0003CEC0 [NONAME]

  Section contains the following delay load imports:

    api-ms-win-power-setting-l1-1-0.dll
              00000001 Characteristics
              69E9988C Address of HMODULE
              69EA4024 Import Address Table
              69E91030 Import Name Table
              69E9137C Bound Import Name Table
              00000000 Unload Import Name Table
                     0 time date stamp

          69E3E63C               7 PowerWriteDCValueIndex
          69E3E64C               3 PowerSetActiveScheme
          69E3E696               5 PowerSettingUnregisterNotification
          69E3E60B               0 PowerGetActiveScheme
          69E3E62C               6 PowerWriteACValueIndex
          69E3E686               4 PowerSettingRegisterNotification

    api-ms-win-power-base-l1-1-0.dll
              00000001 Characteristics
              69E99890 Address of HMODULE
              69EA4018 Import Address Table
              69E91024 Import Name Table
              69E91398 Bound Import Name Table
              00000000 Unload Import Name Table
                     0 time date stamp

          69E3E6C7               4 PowerUnregisterSuspendResumeNotification
          69E3E6A6               3 PowerRegisterSuspendResumeNotification

    api-ms-win-service-private-l1-1-0.dll
              00000001 Characteristics
              69E99894 Address of HMODULE
              69EA4040 Import Address Table
              69E9104C Import Name Table
              69E913A4 Bound Import Name Table
              00000000 Unload Import Name Table
                     0 time date stamp

          69E3E7DF               8 I_ScRegisterDeviceNotification
          69E3E800              11 I_ScUnregisterDeviceNotification

    MSIMG32.dll
              00000001 Characteristics
              69E99898 Address of HMODULE
              69EA4000 Import Address Table
              69E9100C Import Name Table
              69E913B0 Bound Import Name Table
              00000000 Unload Import Name Table
                     0 time date stamp

          69E3EB10               0 AlphaBlend

    WINSTA.dll
              00000001 Characteristics
              69E9989C Address of HMODULE
              69EA4008 Import Address Table
              69E91014 Import Name Table
              69E913B8 Bound Import Name Table
              00000000 Unload Import Name Table
                     0 time date stamp

          69E3EB62              5F WinStationQueryInformationW
          69E3EB52              76 WinStationSendMessageW
          69E3EB31              40 WinStationGetLoggedOnCount

    ext-ms-win-edputil-policy-l1-1-0.dll
              00000001 Characteristics
              69E998A8 Address of HMODULE
              69EA404C Import Address Table
              69E91058 Import Name Table
              69E913C8 Bound Import Name Table
              00000000 Unload Import Name Table
                     0 time date stamp

          69E3F8C2               2 EdpCanCallerAccessWin32Clipboard
          69E3F953              24 EdpSetSourceIsEnlightenedForClipboard
          69E3F8E3               A EdpGetClipboardAccessDeniedData
          69E3F8F3              1E EdpIsUIPolicyEvaluationEnabledForThread
          69E3F903               F EdpGetContextForWindow
          69E3F913               5 EdpClearClipboardMetaData
          69E3F923              22 EdpSetEnterpriseIdForClipboard
          69E3F933               7 EdpGetAppLockerUniqueAppIdentifier
          69E3F943              23 EdpSetSourceAppIdForClipboard
          69E3F963               6 EdpFreeContext

  Section contains the following imports:

    win32u.dll
              69E9B6C0 Import Address Table
              69E9C93C Import Name Table
                     0 time date stamp
                     0 Index of first forwarder reference

                  4B3 NtUserUpdateLayeredWindow
                  331 NtUserFindWindowEx
                  411 NtUserRegisterClassExWOW
                  400 NtUserPostThreadMessage
                  345 NtUserGetClipboardFormatName
                  421 NtUserRegisterWindowMessage
                  36C NtUserGetKeyNameText
                  3E7 NtUserMapVirtualKeyEx
                  32A NtUserEnumDisplayDevices
                  340 NtUserGetClassInfoEx
                  2D6 NtUserChangeDisplaySettings
                  42B NtUserRemoveProp
                  4AC NtUserUnregisterClass
                  32C NtUserEnumDisplaySettings
                  336 NtUserGetAltTabInfo
                  440 NtUserSetClassLong
                  376 NtUserGetMessage
                  36F NtUserGetKeyboardLayoutName
                  311 NtUserDrawCaptionTemp
                  46C NtUserSetProp
                  4BB NtUserVkKeyScanEx
                  2CF NtUserCallMsgFilter
                  456 NtUserSetImeOwnerWindow
                  3F0 NtUserNotifyIMEStatus
                  4B1 NtUserUpdateInputContext
                  2E9 NtUserCountClipboardFormats
                  389 NtUserGetPriorityClipboardFormat
                  346 NtUserGetClipboardOwner
                  347 NtUserGetClipboardSequenceNumber
                  348 NtUserGetClipboardViewer
                  443 NtUserSetClipboardViewer
                  2D5 NtUserChangeClipboardChain
                  2B9 NtUserAddClipboardFormatListener
                  428 NtUserRemoveClipboardFormatListener
                  3A1 NtUserGetUpdatedClipboardFormats
                  47D NtUserSetWindowCompositionAttribute
                  2D1 NtUserCallNoParam
                  2D3 NtUserCallTwoParam
                  475 NtUserSetThreadDesktop
                  2B8 NtUserActivateKeyboardLayout
                  37B NtUserGetOpenClipboardWindow
                  4BC NtUserWOWCleanup
                  4A5 NtUserTranslateAccelerator
                  344 NtUserGetClipboardData
                  442 NtUserSetClipboardData
